OrderId,EmployeeId,SaleDate,AmountSold,PaymentType,ThingsOrdered,ThingsOrderedNames
23,5,2024-10-28 13:13:00,30.95,Credit,"[19, 21, 19, 2, 8, 11, 16, 15, 16, 13]","['Beijing Beef', 'Broccoli Beef', 'Chow Mein', 'Egg Roll', 'Fountain Soda', 'Coke', 'Honey Sesame Chicken', 'String Bean Chicken']"
24,6,2024-10-28 19:09:00,29.25,Gift Card,"[6, 4, 19, 18, 10, 10, 12, 14, 13, 14]","['Honey Walnut Shrimp', 'SweetFire Chicken Breast', 'Fried Rice', 'White Rice', 'Egg Roll', 'Spring Roll', 'Bourbon Chicken', 'Honey Sesame Chicken']"
25,7,2024-10-28 11:32:00,19.60,Gift Card,"[1, 10, 11, 10, 15]","['Orange Chicken', 'Fried Rice', 'Chow Mein', 'Fountain Soda']"
26,1,2024-10-28 16:06:00,24.60,Gift Card,"[1, 12, 10, 10, 17, 25, 25]","['Orange Chicken', 'Fried Rice', 'White Rice', 'Apple Juice', 'Water Bottle']"
27,7,2024-10-28 09:37:00,23.35,Cash,"[1, 19, 3, 15, 13, 13, 13]","['Orange Chicken', 'Kung Pao Chicken', 'Egg Roll', 'Fountain Soda', 'Honey Sesame Chicken']"
28,4,2024-10-28 14:22:00,28.00,Gift Card,"[6, 8, 4, 19, 5, 12, 12, 12, 15]","['Honey Walnut Shrimp', 'Teriyaki Chicken', 'SweetFire Chicken Breast', 'Broccoli Beef', 'White Rice', 'Fountain Soda', 'Honey Sesame Chicken']"
29,4,2024-10-28 17:13:00,12.95,Gift Card,"[2, 17, 14, 14, 14]","['Beijing Beef', 'Spring Roll', 'Apple Juice']"
30,4,2024-10-28 15:41:00,35.75,Cash,"[7, 1, 5, 6, 11, 22, 11, 17, 16, 25, 17, 23]","['Orange Chicken', 'Teriyaki Chicken', 'SweetFire Chicken Breast', 'Black Pepper Steak', 'Chow Mein', 'Coke', 'Apple Juice', 'Super Greens', 'Cream Cheese Rangoons', 'Water Bottle']"
31,2,2024-10-28 11:51:00,28.00,Gift Card,"[4, 21, 19, 12, 22, 10, 11, 13, 13]","['Honey Walnut Shrimp', 'Fried Rice', 'Chow Mein', 'White Rice', 'Egg Roll', 'Honey Sesame Chicken', 'String Bean Chicken', 'Super Greens']"
32,5,2024-10-28 14:08:00,36.00,Cash,"[9, 12, 12, 12, 12, 15, 17, 25, 14, 23, 13, 24]","['Sweet and Sour Chicken Breast', 'White Rice', 'Egg Roll', 'Spring Roll', 'Fountain Soda', 'Apple Juice', 'Cream Cheese Rangoons', 'Apple Pie Roll', 'Water Bottle']"
33,5,2024-10-28 16:03:00,42.30,Credit,"[18, 19, 4, 3, 1, 6, 3, 10, 22, 25, 16, 25, 24, 24, 24, 13]","['Orange Chicken', 'Kung Pao Chicken', 'Honey Walnut Shrimp', 'SweetFire Chicken Breast', 'Fried Rice', 'Egg Roll', 'Coke', 'Bourbon Chicken', 'Honey Sesame Chicken', 'Super Greens', 'Apple Pie Roll', 'Water Bottle']"
34,3,2024-10-28 20:07:00,45.65,Credit,"[7, 8, 2, 18, 5, 6, 20, 17, 25, 17, 14]","['Beijing Beef', 'Teriyaki Chicken', 'SweetFire Chicken Breast', 'Black Pepper Steak', 'Broccoli Beef', 'Spring Roll', 'Apple Juice', 'Bourbon Chicken', 'Mushroom Chicken', 'Water Bottle']"
35,4,2024-10-28 12:49:00,40.15,Cash,"[6, 3, 20, 4, 1, 22, 12, 11, 22, 15, 16, 13, 23, 14]","['Orange Chicken', 'Kung Pao Chicken', 'Honey Walnut Shrimp', 'SweetFire Chicken Breast', 'Chow Mein', 'White Rice', 'Egg Roll', 'Spring Roll', 'Fountain Soda', 'Coke', 'Mushroom Chicken', 'Super Greens', 'Cream Cheese Rangoons']"
36,10,2024-10-28 17:50:00,21.70,Cash,"[21, 1, 2, 10, 10, 17, 13, 13]","['Orange Chicken', 'Beijing Beef', 'Fried Rice', 'Egg Roll', 'Apple Juice', 'String Bean Chicken']"
37,9,2024-10-28 16:26:00,47.65,Credit,"[4, 21, 1, 18, 4, 20, 1, 2, 11, 11, 10, 15, 16, 15, 15, 13, 14, 24]","['Orange Chicken', 'Beijing Beef', 'Honey Walnut Shrimp', 'Fried Rice', 'Chow Mein', 'Egg Roll', 'Spring Roll', 'Fountain Soda', 'Coke', 'Bourbon Chicken', 'Mushroom Chicken', 'String Bean Chicken', 'Apple Pie Roll']"
38,4,2024-10-28 16:52:00,22.80,Gift Card,"[2, 22, 17, 25, 17, 14, 14, 23, 23]","['Beijing Beef', 'Spring Roll', 'Apple Juice', 'Super Greens', 'Cream Cheese Rangoons', 'Water Bottle']"
39,7,2024-10-28 10:27:00,27.85,Credit,"[21, 18, 4, 22, 10, 12, 25, 14, 23, 14]","['Honey Walnut Shrimp', 'Fried Rice', 'White Rice', 'Spring Roll', 'Bourbon Chicken', 'String Bean Chicken', 'Super Greens', 'Cream Cheese Rangoons', 'Water Bottle']"
40,10,2024-10-28 10:02:00,42.05,Gift Card,"[21, 9, 6, 3, 2, 4, 3, 10, 22, 11, 11, 25, 17, 24]","['Beijing Beef', 'Kung Pao Chicken', 'Honey Walnut Shrimp', 'SweetFire Chicken Breast', 'Sweet and Sour Chicken Breast', 'Fried Rice', 'Chow Mein', 'Apple Juice', 'String Bean Chicken', 'Super Greens', 'Apple Pie Roll', 'Water Bottle']"
41,3,2024-10-28 20:31:00,15.55,Credit,"[2, 8, 2, 10, 17, 23]","['Beijing Beef', 'Broccoli Beef', 'Fried Rice', 'Apple Juice', 'Cream Cheese Rangoons']"
42,7,2024-10-28 14:16:00,26.50,Cash,"[19, 19, 8, 19, 10, 25, 17, 16, 15]","['Broccoli Beef', 'Fried Rice', 'Fountain Soda', 'Coke', 'Apple Juice', 'Honey Sesame Chicken', 'Water Bottle']"
43,1,2024-10-28 20:12:00,34.80,Cash,"[9, 5, 5, 9, 6, 1, 8, 11, 22, 23, 24, 23, 13]","['Orange Chicken', 'Teriyaki Chicken', 'SweetFire Chicken Breast', 'Broccoli Beef', 'Sweet and Sour Chicken Breast', 'Chow Mein', 'Egg Roll', 'Super Greens', 'Cream Cheese Rangoons', 'Apple Pie Roll']"
44,8,2024-10-28 16:35:00,27.10,Cash,"[5, 12, 10, 11, 16, 25, 25, 15]","['Teriyaki Chicken', 'Fried Rice', 'Chow Mein', 'White Rice', 'Fountain Soda', 'Coke', 'Water Bottle']"
45,9,2024-10-28 18:13:00,38.50,Cash,"[8, 12, 11, 12, 10, 17, 25, 25, 16, 14, 23, 23, 13]","['Broccoli Beef', 'Fried Rice', 'Chow Mein', 'White Rice', 'Egg Roll', 'Spring Roll', 'Coke', 'Apple Juice', 'Cream Cheese Rangoons', 'Water Bottle']"
46,6,2024-10-28 09:08:00,23.85,Gift Card,"[6, 12, 10, 22, 16, 17, 24]","['SweetFire Chicken Breast', 'Fried Rice', 'White Rice', 'Coke', 'Apple Juice', 'Super Greens', 'Apple Pie Roll']"
47,1,2024-10-28 18:52:00,42.15,Gift Card,"[4, 19, 9, 9, 3, 19, 22, 15, 25, 17, 17, 23, 13, 14]","['Kung Pao Chicken', 'Honey Walnut Shrimp', 'Sweet and Sour Chicken Breast', 'Egg Roll', 'Spring Roll', 'Fountain Soda', 'Apple Juice', 'Honey Sesame Chicken', 'Super Greens', 'Cream Cheese Rangoons', 'Water Bottle']"
48,2,2024-10-28 09:57:00,25.45,Credit,"[9, 22, 22, 17, 17, 25, 24, 13, 24]","['Sweet and Sour Chicken Breast', 'Egg Roll', 'Apple Juice', 'Super Greens', 'Apple Pie Roll', 'Water Bottle']"
49,5,2024-10-28 19:40:00,34.25,Gift Card,"[20, 6, 7, 5, 12, 12, 10, 25, 15, 23, 14, 14]","['Teriyaki Chicken', 'SweetFire Chicken Breast', 'Black Pepper Steak', 'Fried Rice', 'White Rice', 'Spring Roll', 'Fountain Soda', 'Mushroom Chicken', 'Cream Cheese Rangoons', 'Water Bottle']"
50,9,2024-10-28 17:52:00,49.80,Cash,"[18, 1, 3, 21, 6, 6, 4, 10, 11, 10, 10, 15, 25, 16, 24, 14, 23, 13]","['Orange Chicken', 'Kung Pao Chicken', 'Honey Walnut Shrimp', 'SweetFire Chicken Breast', 'Fried Rice', 'Chow Mein', 'Egg Roll', 'Spring Roll', 'Fountain Soda', 'Coke', 'Bourbon Chicken', 'String Bean Chicken', 'Cream Cheese Rangoons', 'Apple Pie Roll', 'Water Bottle']"
51,7,2024-10-28 09:47:00,23.05,Gift Card,"[2, 21, 2, 10, 16, 17, 15, 16, 14]","['Beijing Beef', 'Fried Rice', 'Spring Roll', 'Fountain Soda', 'Coke', 'Apple Juice', 'String Bean Chicken']"
52,4,2024-10-28 10:29:00,33.05,Gift Card,"[3, 9, 1, 7, 3, 21, 1, 22, 12, 23, 14, 24]","['Orange Chicken', 'Kung Pao Chicken', 'Black Pepper Steak', 'Sweet and Sour Chicken Breast', 'White Rice', 'Spring Roll', 'String Bean Chicken', 'Super Greens', 'Cream Cheese Rangoons', 'Apple Pie Roll']"
53,8,2024-10-28 15:09:00,47.80,Cash,"[20, 2, 2, 1, 9, 8, 7, 6, 12, 10, 11, 12, 17, 16, 17, 13, 23]","['Orange Chicken', 'Beijing Beef', 'SweetFire Chicken Breast', 'Black Pepper Steak', 'Broccoli Beef', 'Sweet and Sour Chicken Breast', 'Fried Rice', 'Chow Mein', 'White Rice', 'Egg Roll', 'Coke', 'Apple Juice', 'Mushroom Chicken', 'Cream Cheese Rangoons']"
54,10,2024-10-28 11:08:00,29.60,Credit,"[19, 18, 11, 22, 12, 15, 25, 17, 24, 13]","['Chow Mein', 'White Rice', 'Egg Roll', 'Fountain Soda', 'Apple Juice', 'Bourbon Chicken', 'Honey Sesame Chicken', 'Super Greens', 'Apple Pie Roll', 'Water Bottle']"
55,1,2024-10-28 20:03:00,37.05,Gift Card,"[6, 6, 21, 18, 6, 19, 20, 12, 22, 25, 15, 17, 23]","['SweetFire Chicken Breast', 'White Rice', 'Fountain Soda', 'Apple Juice', 'Bourbon Chicken', 'Honey Sesame Chicken', 'Mushroom Chicken', 'String Bean Chicken', 'Super Greens', 'Cream Cheese Rangoons', 'Water Bottle']"
56,4,2024-10-28 18:59:00,36.45,Credit,"[8, 7, 19, 19, 20, 8, 24, 14, 13]","['Black Pepper Steak', 'Broccoli Beef', 'Egg Roll', 'Spring Roll', 'Honey Sesame Chicken', 'Mushroom Chicken', 'Apple Pie Roll']"
57,9,2024-10-28 12:11:00,23.10,Cash,"[19, 6, 19, 25, 15, 16]","['SweetFire Chicken Breast', 'Fountain Soda', 'Coke', 'Honey Sesame Chicken', 'Water Bottle']"
58,4,2024-10-28 14:32:00,21.10,Gift Card,"[18, 8, 7, 7, 20, 22, 10]","['Black Pepper Steak', 'Broccoli Beef', 'Fried Rice', 'Bourbon Chicken', 'Mushroom Chicken', 'Super Greens']"
59,4,2024-10-28 14:19:00,46.65,Cash,"[9, 7, 19, 18, 9, 7, 2, 17, 25, 24, 14, 23]","['Beijing Beef', 'Black Pepper Steak', 'Sweet and Sour Chicken Breast', 'Spring Roll', 'Apple Juice', 'Bourbon Chicken', 'Honey Sesame Chicken', 'Cream Cheese Rangoons', 'Apple Pie Roll', 'Water Bottle']"
60,4,2024-10-28 09:48:00,27.35,Gift Card,"[21, 10, 11, 22, 16, 17, 13, 23, 23]","['Fried Rice', 'Chow Mein', 'Egg Roll', 'Coke', 'Apple Juice', 'String Bean Chicken', 'Super Greens', 'Cream Cheese Rangoons']"
61,1,2024-10-28 15:01:00,38.05,Gift Card,"[7, 1, 8, 4, 19, 7, 7, 12, 12, 15, 16, 14, 14, 13]","['Orange Chicken', 'Honey Walnut Shrimp', 'Black Pepper Steak', 'Broccoli Beef', 'White Rice', 'Egg Roll', 'Spring Roll', 'Fountain Soda', 'Coke', 'Honey Sesame Chicken']"
62,2,2024-10-28 20:40:00,15.30,Cash,"[7, 12, 14, 24, 13, 13]","['Black Pepper Steak', 'White Rice', 'Egg Roll', 'Spring Roll', 'Apple Pie Roll']"
63,4,2024-10-28 14:27:00,37.95,Gift Card,"[18, 8, 1, 4, 9, 5, 16, 16, 13]","['Orange Chicken', 'Honey Walnut Shrimp', 'Teriyaki Chicken', 'Broccoli Beef', 'Sweet and Sour Chicken Breast', 'Egg Roll', 'Coke', 'Bourbon Chicken']"
64,5,2024-10-28 11:02:00,21.05,Gift Card,"[2, 11, 25, 15, 17, 13, 24, 14]","['Beijing Beef', 'Chow Mein', 'Egg Roll', 'Spring Roll', 'Fountain Soda', 'Apple Juice', 'Apple Pie Roll', 'Water Bottle']"
65,10,2024-10-28 09:48:00,27.60,Gift Card,"[21, 1, 5, 19, 18, 21, 12, 12, 16, 16]","['Orange Chicken', 'Teriyaki Chicken', 'White Rice', 'Coke', 'Bourbon Chicken', 'Honey Sesame Chicken', 'String Bean Chicken']"
66,8,2024-10-28 16:34:00,30.95,Gift Card,"[7, 3, 4, 18, 20, 11, 15, 25, 25, 14]","['Kung Pao Chicken', 'Honey Walnut Shrimp', 'Black Pepper Steak', 'Chow Mein', 'Spring Roll', 'Fountain Soda', 'Bourbon Chicken', 'Mushroom Chicken', 'Water Bottle']"
67,10,2024-10-28 14:14:00,37.30,Gift Card,"[7, 21, 7, 1, 2, 4, 18, 9, 11]","['Orange Chicken', 'Beijing Beef', 'Honey Walnut Shrimp', 'Black Pepper Steak', 'Sweet and Sour Chicken Breast', 'Chow Mein', 'Bourbon Chicken', 'String Bean Chicken']"
68,7,2024-10-28 18:58:00,32.00,Credit,"[2, 5, 18, 19, 21, 1, 10, 12, 11, 16, 15]","['Orange Chicken', 'Beijing Beef', 'Teriyaki Chicken', 'Fried Rice', 'Chow Mein', 'White Rice', 'Fountain Soda', 'Coke', 'Bourbon Chicken', 'Honey Sesame Chicken', 'String Bean Chicken']"
69,3,2024-10-28 12:30:00,39.75,Gift Card,"[19, 20, 19, 12, 22, 11, 10, 16, 25, 16, 17, 23, 13, 23]","['Fried Rice', 'Chow Mein', 'White Rice', 'Egg Roll', 'Coke', 'Apple Juice', 'Honey Sesame Chicken', 'Mushroom Chicken', 'Super Greens', 'Cream Cheese Rangoons', 'Water Bottle']"
70,5,2024-10-28 19:57:00,42.15,Cash,"[21, 18, 2, 20, 18, 18, 22, 17, 15, 15, 15, 23, 14, 14]","['Beijing Beef', 'Spring Roll', 'Fountain Soda', 'Apple Juice', 'Bourbon Chicken', 'Mushroom Chicken', 'String Bean Chicken', 'Super Greens', 'Cream Cheese Rangoons']"
71,6,2024-10-28 17:45:00,29.40,Credit,"[18, 7, 19, 9, 4, 18, 10, 17]","['Honey Walnut Shrimp', 'Black Pepper Steak', 'Sweet and Sour Chicken Breast', 'Fried Rice', 'Apple Juice', 'Bourbon Chicken', 'Honey Sesame Chicken']"
72,9,2024-10-28 14:41:00,53.35,Cash,"[1, 3, 1, 4, 2, 21, 1, 20, 16, 15, 16, 17, 23]","['Orange Chicken', 'Beijing Beef', 'Kung Pao Chicken', 'Honey Walnut Shrimp', 'Fountain Soda', 'Coke', 'Apple Juice', 'Mushroom Chicken', 'String Bean Chicken', 'Cream Cheese Rangoons']"
73,5,2024-10-28 18:11:00,24.60,Gift Card,"[7, 18, 3, 3, 11, 12, 25, 16]","['Kung Pao Chicken', 'Black Pepper Steak', 'Chow Mein', 'White Rice', 'Coke', 'Bourbon Chicken', 'Water Bottle']"
74,1,2024-10-28 16:42:00,20.95,Credit,"[9, 20, 11, 11, 15, 25, 13]","['Sweet and Sour Chicken Breast', 'Chow Mein', 'Egg Roll', 'Fountain Soda', 'Mushroom Chicken', 'Water Bottle']"
75,8,2024-10-28 08:11:00,42.10,Cash,"[1, 1, 2, 8, 4, 1, 7, 12, 16, 16, 17, 25]","['Orange Chicken', 'Beijing Beef', 'Honey Walnut Shrimp', 'Black Pepper Steak', 'Broccoli Beef', 'White Rice', 'Coke', 'Apple Juice', 'Water Bottle']"
76,1,2024-10-28 14:51:00,30.25,Cash,"[19, 6, 4, 9, 8, 16, 23]","['Honey Walnut Shrimp', 'SweetFire Chicken Breast', 'Broccoli Beef', 'Sweet and Sour Chicken Breast', 'Coke', 'Honey Sesame Chicken', 'Cream Cheese Rangoons']"
77,5,2024-10-28 12:15:00,14.80,Cash,"[9, 18, 3, 12, 14, 23]","['Kung Pao Chicken', 'Sweet and Sour Chicken Breast', 'White Rice', 'Spring Roll', 'Bourbon Chicken', 'Cream Cheese Rangoons']"
78,1,2024-10-28 11:53:00,31.20,Gift Card,"[18, 19, 19, 19, 20, 10, 25, 23, 14, 23, 24]","['Fried Rice', 'Spring Roll', 'Bourbon Chicken', 'Honey Sesame Chicken', 'Mushroom Chicken', 'Cream Cheese Rangoons', 'Apple Pie Roll', 'Water Bottle']"
79,6,2024-10-28 09:01:00,26.50,Credit,"[4, 22, 12, 12, 11, 25, 16]","['Honey Walnut Shrimp', 'Chow Mein', 'White Rice', 'Coke', 'Super Greens', 'Water Bottle']"
80,10,2024-10-28 15:02:00,22.20,Cash,"[19, 10, 22, 17, 23, 24, 13, 14]","['Fried Rice', 'Egg Roll', 'Spring Roll', 'Apple Juice', 'Honey Sesame Chicken', 'Super Greens', 'Cream Cheese Rangoons', 'Apple Pie Roll']"
81,1,2024-10-28 10:50:00,36.50,Gift Card,"[8, 8, 4, 6, 5, 11, 22, 11, 17, 15, 25, 14, 14]","['Honey Walnut Shrimp', 'Teriyaki Chicken', 'SweetFire Chicken Breast', 'Broccoli Beef', 'Chow Mein', 'Spring Roll', 'Fountain Soda', 'Apple Juice', 'Super Greens', 'Water Bottle']"
82,9,2024-10-28 12:00:00,26.50,Gift Card,"[9, 18, 12, 10, 11, 11, 14, 13]","['Sweet and Sour Chicken Breast', 'Fried Rice', 'Chow Mein', 'White Rice', 'Egg Roll', 'Spring Roll', 'Bourbon Chicken']"
83,7,2024-10-28 13:22:00,48.15,Cash,"[19, 20, 2, 21, 4, 6, 6, 17, 15, 15, 15, 14]","['Beijing Beef', 'Honey Walnut Shrimp', 'SweetFire Chicken Breast', 'Spring Roll', 'Fountain Soda', 'Apple Juice', 'Honey Sesame Chicken', 'Mushroom Chicken', 'String Bean Chicken']"
84,1,2024-10-28 12:47:00,22.95,Credit,"[1, 22, 12, 16, 25, 14, 24, 14]","['Orange Chicken', 'White Rice', 'Spring Roll', 'Coke', 'Super Greens', 'Apple Pie Roll', 'Water Bottle']"
85,9,2024-10-28 18:00:00,32.40,Gift Card,"[21, 4, 18, 9, 4, 22, 10, 12, 10, 17]","['Honey Walnut Shrimp', 'Sweet and Sour Chicken Breast', 'Fried Rice', 'White Rice', 'Apple Juice', 'Bourbon Chicken', 'String Bean Chicken', 'Super Greens']"
86,8,2024-10-28 09:02:00,37.85,Credit,"[3, 21, 2, 7, 21, 3, 12, 12, 16, 15, 25, 15, 14, 13, 13]","['Beijing Beef', 'Kung Pao Chicken', 'Black Pepper Steak', 'White Rice', 'Egg Roll', 'Spring Roll', 'Fountain Soda', 'Coke', 'String Bean Chicken', 'Water Bottle']"
87,6,2024-10-28 18:07:00,36.40,Cash,"[18, 21, 8, 7, 7, 3, 10, 12, 10, 22, 17, 15]","['Kung Pao Chicken', 'Black Pepper Steak', 'Broccoli Beef', 'Fried Rice', 'White Rice', 'Fountain Soda', 'Apple Juice', 'Bourbon Chicken', 'String Bean Chicken', 'Super Greens']"
88,8,2024-10-28 20:10:00,48.35,Credit,"[1, 8, 9, 20, 6, 2, 5, 8, 15, 17, 24]","['Orange Chicken', 'Beijing Beef', 'Teriyaki Chicken', 'SweetFire Chicken Breast', 'Broccoli Beef', 'Sweet and Sour Chicken Breast', 'Fountain Soda', 'Apple Juice', 'Mushroom Chicken', 'Apple Pie Roll']"
89,6,2024-10-28 18:09:00,48.55,Cash,"[8, 8, 18, 5, 4, 21, 8, 21, 11, 11, 11, 22, 25, 17, 25, 17, 23]","['Honey Walnut Shrimp', 'Teriyaki Chicken', 'Broccoli Beef', 'Chow Mein', 'Apple Juice', 'Bourbon Chicken', 'String Bean Chicken', 'Super Greens', 'Cream Cheese Rangoons', 'Water Bottle']"
90,9,2024-10-28 16:06:00,41.80,Cash,"[8, 21, 21, 7, 4, 18, 6, 1, 12, 10, 10, 12, 17, 25]","['Orange Chicken', 'Honey Walnut Shrimp', 'SweetFire Chicken Breast', 'Black Pepper Steak', 'Broccoli Beef', 'Fried Rice', 'White Rice', 'Apple Juice', 'Bourbon Chicken', 'String Bean Chicken', 'Water Bottle']"
91,4,2024-10-28 15:14:00,41.50,Gift Card,"[1, 9, 5, 2, 2, 8, 1, 4, 12, 12, 16, 25, 13, 14]","['Orange Chicken', 'Beijing Beef', 'Honey Walnut Shrimp', 'Teriyaki Chicken', 'Broccoli Beef', 'Sweet and Sour Chicken Breast', 'White Rice', 'Egg Roll', 'Spring Roll', 'Coke', 'Water Bottle']"
92,4,2024-10-28 08:19:00,19.85,Cash,"[1, 18, 21, 25, 23]","['Orange Chicken', 'Bourbon Chicken', 'String Bean Chicken', 'Cream Cheese Rangoons', 'Water Bottle']"
