OrderId,ThingsOrdered
131,"[1, 1, 2, 2, 7, 12]"
132,"[8, 1, 9, 9, 21, 2, 3, 9, 17, 25, 16, 13, 13, 24, 14]"
133,"[19, 18, 9, 7, 5, 6, 1, 10, 10, 12, 13, 14]"
134,"[5, 2, 7, 18, 4, 8, 19, 12, 15, 15, 15, 13, 23, 13, 24]"
135,"[1, 8, 4, 9, 1, 12, 15, 13, 24]"
136,"[21, 21, 11, 25, 13, 24]"
137,"[20, 11, 22, 15, 17, 16, 15]"
138,"[4, 18, 9, 19, 2, 9, 6, 22, 10, 17, 17, 24, 23, 14]"
139,"[5, 20, 22, 10, 22, 11, 24, 14, 13]"
140,"[5, 20, 18, 5, 11, 15, 16, 16, 24, 24]"
141,"[19, 1, 4, 21, 11, 10, 10, 12, 25, 15]"
142,"[9, 20, 4, 21, 8, 6, 10, 12, 22, 12, 25, 16, 17, 15]"
143,"[6, 19, 6, 18, 2, 24]"
144,"[3, 5, 3, 21, 20, 11, 12, 11]"
145,"[19, 6, 17, 16, 25, 14]"
146,"[7, 21, 19, 20, 19, 4, 1, 5, 11, 25, 25, 16, 14, 24, 24]"
147,"[2, 9, 21, 1, 6, 9, 18, 9, 12, 10, 12, 17, 25, 14]"
148,"[2, 8, 18, 5, 14, 13, 23, 23]"
149,"[1, 7, 22, 12, 17, 16]"
150,"[6, 11, 22, 22, 17, 24, 14]"
151,"[4, 11, 12, 12, 23, 13]"
152,"[18, 19, 5, 1, 5, 15, 13, 13, 13, 24]"
153,"[19, 18, 20, 21, 20, 20, 2, 8, 12, 22, 22, 15, 15, 23, 23, 14]"
154,"[4, 2, 19, 8, 20, 2, 13, 23, 14, 24]"
155,"[19, 8, 9, 4, 12, 10, 22, 11, 25, 24]"
156,"[19, 8, 1, 18, 20, 10, 12, 22, 12, 15, 17, 17, 24, 24, 13]"
157,"[20, 8, 4, 20, 7, 3, 12, 22, 22, 22, 16, 17, 16, 16, 13, 23]"
158,"[20, 3, 7, 2, 12, 22, 11, 16, 17, 17, 25, 13]"
159,"[5, 3, 3, 16, 16, 15, 13, 24, 23]"
160,"[5, 8, 21, 20, 21, 21, 8, 15]"
161,"[9, 6, 9, 19, 7, 1, 19, 6, 11, 10, 22, 10, 17, 17]"
162,"[4, 22, 22, 10, 22, 17, 16, 25, 17]"
163,"[2, 3, 21, 1, 20, 1, 6, 6, 11, 10, 12, 17, 16, 16, 14, 14, 14, 24]"
164,"[8, 2, 20, 20, 5, 1, 20, 22, 10, 22, 25, 15, 23]"
165,"[8, 22, 17, 17, 24, 24, 23]"
166,"[8, 7, 20, 20, 10, 11, 10, 15, 15, 13, 14]"
167,"[21, 11, 25, 14, 24, 24]"
168,"[7, 22, 22, 22, 15, 14, 23, 14]"
169,"[8, 3, 3, 19, 21, 12, 11, 11, 10, 14, 13, 14, 23]"
170,"[6, 21, 2, 7, 1, 25, 13, 13, 14]"
171,"[18, 22, 10, 23]"
172,"[5, 18, 3, 2, 3, 11, 22, 10, 22, 17, 17, 16, 25, 23, 23, 24, 14]"
173,"[1, 5, 5, 5, 11, 11, 11, 25, 15, 14, 13, 23]"
174,"[21, 18, 10, 17, 23, 14]"
175,"[20, 20, 6, 6, 6, 21, 11, 10, 25, 15, 25, 17, 13]"
176,"[6, 8, 21, 2, 11, 16]"
177,"[21, 20, 3, 21, 10, 12, 16, 15, 16, 13, 13, 13]"
178,"[19, 20, 8, 3, 6, 21, 19, 1, 11, 12, 15, 25, 23]"
179,"[2, 1, 21, 11, 15, 16, 16, 16, 24, 23, 14, 24]"
180,"[20, 3, 9, 2, 3, 11, 17, 16, 17, 25, 24]"
181,"[20, 3, 21, 11, 10, 12, 16, 25, 24, 23]"
182,"[2, 19, 20, 11, 11, 10, 12, 16, 25, 25, 13, 14, 24]"
183,"[1, 9, 7, 6, 12, 10, 16, 15, 24, 24, 24]"
184,"[2, 19, 10, 10, 11, 15]"
185,"[7, 2, 9, 9, 20, 19, 9, 20, 22, 11, 22, 22, 14, 14, 13]"
186,"[5, 4, 1, 19, 5, 7, 20, 8, 12, 10, 10, 11, 25, 24]"
187,"[3, 18, 3, 12, 22, 10, 15, 25]"
188,"[19, 4, 4, 7, 7, 6, 4, 4, 10, 25, 23, 24, 23, 23]"
189,"[6, 4, 9, 3, 12, 22, 25, 17]"
190,"[2, 21, 3, 9, 3, 7, 8, 2, 12, 22, 11, 15, 14, 23, 23, 13]"
191,"[5, 3, 4, 9, 4, 12, 12, 25, 14, 24, 13, 14]"
192,"[1, 8, 1, 18, 6, 7, 4, 4, 24, 24, 14, 23]"
193,"[19, 9, 9, 21, 9, 22, 10, 25, 25, 24, 23, 14, 23]"
194,"[3, 21, 7, 4, 12, 22, 15, 25, 25, 14, 24, 14, 13]"
195,"[2, 8, 18, 1, 9, 7, 9, 9, 16, 25, 15, 16, 13]"
196,"[20, 1, 7, 9, 6, 20, 4, 10, 10, 16, 14, 24, 23, 14]"
197,"[9, 9, 11, 10, 11, 11, 17, 17, 17, 25, 23, 13, 24]"
198,"[19, 9, 4, 4, 14, 13, 24]"
199,"[2, 5, 1, 2, 21, 7, 1, 22, 10, 22, 12]"
200,"[19, 4, 11, 25, 23, 14, 13, 13]"
201,"[2, 4, 18, 7, 9, 1, 2, 23]"
202,"[6, 6, 20, 18, 7, 4, 3, 11]"
203,"[1, 8, 6, 7, 12, 10, 22, 15, 23, 13, 24, 23]"
204,"[19, 7, 6, 1, 7, 17, 16, 15, 17, 23, 13]"
205,"[2, 9, 18, 7, 1, 9, 25, 14, 14, 24]"
206,"[2, 4, 8, 25, 16, 16, 16, 13, 24, 13, 24]"
207,"[7, 19, 12, 12, 15, 16, 13]"
208,"[7, 6, 19, 1, 9, 19, 8, 11, 12, 17, 25, 17, 25, 24, 13]"
209,"[18, 9, 18, 7, 2, 10, 15, 15, 17, 17, 14, 23, 23]"
210,"[20, 2, 20, 18, 17, 25, 25, 24, 23]"
211,"[18, 21, 21, 7, 12, 16, 17, 24, 23, 23]"
212,"[18, 18, 21, 6, 12, 17, 25, 14, 23, 23, 23]"
213,"[18, 21, 6, 22, 11, 15, 25, 16, 17, 14, 23, 14, 23]"
214,"[18, 1, 12, 11, 12, 16, 17, 23]"
215,"[7, 12, 10, 12, 15, 25, 15]"
216,"[3, 5, 19, 10, 11, 11, 25, 25]"
217,"[1, 8, 4, 6, 6, 12, 22, 11, 11, 15, 25]"
218,"[2, 19, 4, 3, 8, 5, 2, 18, 12, 10, 10, 25, 25, 25, 17, 13]"
219,"[9, 5, 19, 1, 10, 12, 10, 10]"
220,"[19, 20, 6, 7, 21, 7, 22, 11, 12, 12, 25, 25, 15, 14, 24, 24]"
221,"[8, 2, 22, 17, 15, 16, 15, 23, 13, 23]"
222,"[1, 18, 20, 25, 15, 24]"
223,"[9, 22, 16, 16, 25, 14, 13, 24]"
224,"[2, 9]"
225,"[18, 3, 18, 3, 2, 7, 11, 10, 16, 17, 17, 17]"
226,"[9, 19, 6, 15, 15, 25, 24, 23, 13, 14]"
227,"[18, 8, 5, 11, 10, 25, 17, 15, 17, 23, 13, 13, 24]"
228,"[5, 8, 21, 3, 8, 4, 19, 12, 15, 14]"
229,"[9, 7, 21, 6, 7, 21, 3, 12, 14, 13]"
230,"[4, 2, 19, 12, 17, 16, 15]"
231,"[2, 19, 22, 22, 10, 16, 16, 15, 24]"
232,"[8, 19, 6, 1, 7, 18, 19, 4, 11, 25, 25, 24, 13]"
233,"[5, 5, 3, 21, 20, 1, 12, 16, 16, 25, 24, 24, 23]"
234,"[20, 2, 4, 21, 8, 12, 22, 15, 25, 24, 23, 14]"
235,"[7, 5, 18, 9, 11, 11, 16, 15, 13, 13, 14]"
236,"[3, 1, 7, 22, 11, 22, 15, 13, 13, 24]"
237,"[3, 15, 17, 17, 13, 14]"
238,"[2, 25, 17, 25, 14, 13, 24]"
239,"[4, 25, 24, 14]"
240,"[5, 5, 19, 5, 3, 1, 5, 2, 11, 22, 22, 11, 24, 13, 23]"
241,"[7, 11, 11, 10, 22, 17, 17, 24, 14, 24, 24]"
242,"[19, 19, 4, 18, 17, 15, 14, 23, 14]"
243,"[21, 9, 20, 5, 8, 21, 22, 11, 10, 17, 14, 23, 13, 14]"
244,"[3, 9, 6, 20, 2, 22, 22, 11, 12, 17, 15, 16, 15]"
245,"[7, 8, 7, 2, 12, 22, 17, 16, 13, 23, 23]"
246,"[4, 19, 1, 5, 3, 1, 11, 12, 22, 22, 16, 24, 23, 24, 24]"
247,"[9, 3, 2, 11, 12, 16, 25, 16, 15]"
248,"[3, 4, 1, 5, 17, 16, 14, 23, 14, 24]"
249,"[18, 5, 18, 22, 10, 10, 25, 16, 24, 14, 24, 14]"
250,"[2, 25, 17, 23, 24, 14, 14]"
251,[21]
252,"[20, 2, 5, 5, 5, 6, 4, 12, 12, 11, 15, 25, 15, 23, 24]"
253,"[2, 20, 8, 8, 21, 9, 4, 10, 11, 12, 16, 13, 24, 24]"
254,"[18, 9, 4, 9, 15, 16, 17, 14, 24, 13, 13]"
255,"[6, 10, 22, 22, 12, 25, 23, 24, 23, 13]"
256,"[2, 19, 20, 8, 18, 6, 2, 3, 10, 16, 23, 13, 13, 23]"
257,"[18, 6, 10, 10, 10, 17, 16, 17, 13, 14, 23]"
258,"[6, 20, 9, 4, 7, 6, 17, 16, 15, 13]"
259,"[5, 11, 15, 13, 13, 23]"
260,"[5, 20, 21, 11, 16, 15, 23, 23]"
261,"[4, 1, 21, 9, 19, 8, 6, 10, 12, 11, 15, 25, 25, 23, 13, 24, 23]"
262,"[6, 20, 3, 10, 10, 12, 25, 16, 13, 13]"
263,"[9, 3, 4, 4, 22, 15, 14]"
264,"[4, 19, 20, 22, 12, 14, 23, 24, 14]"
265,"[9, 21, 2, 1, 5, 6, 22, 12, 12, 12, 25, 23, 23, 13, 23]"
266,"[4, 3, 19, 6, 21, 4, 7, 3, 12, 15, 16, 17, 13, 23, 24]"
267,"[7, 1, 2, 18, 12, 10, 11, 22, 25, 25, 16, 25, 24, 14]"
268,"[4, 18, 20, 9, 5, 5, 4, 12, 12, 12, 25, 15, 15, 25, 13, 14]"
269,"[1, 18, 1, 8, 6, 15, 23, 14]"
270,"[1, 10, 11, 22, 11, 24, 23, 23]"
271,"[20, 18, 6, 8, 3, 6, 10, 16, 25, 15, 25, 14]"
272,"[7, 9, 9, 11, 12, 11, 22, 25, 24]"
273,"[21, 9, 6, 19, 25, 15, 25, 16, 14]"
274,"[21, 8, 9, 20, 4, 10, 23, 13, 23]"
275,"[21, 3, 21, 19, 22, 12, 23, 14]"
276,"[9, 2, 9, 9, 18, 3, 3, 21, 11, 10, 16, 17, 16, 17, 13, 23, 24, 24]"
277,"[21, 4, 20, 6, 20, 11, 22, 22, 25, 15, 14, 23, 13]"
278,"[7, 21, 1, 19, 22, 12, 11, 15, 16, 15, 24, 24, 24, 13]"
279,"[4, 7, 19, 8, 18, 18, 21, 19, 17, 23, 14, 23, 23]"
280,"[19, 19, 21, 3, 6, 6, 3, 19, 10, 10, 11, 11, 25, 14, 23, 14, 14]"
281,"[20, 9, 1, 5, 20, 4, 4, 12, 12, 25, 15, 17, 24]"
282,"[19, 2, 21, 21, 5, 18, 20, 3, 11, 11, 12, 10, 15]"
283,"[19, 13, 14]"
284,"[6, 22, 12, 16, 17, 16, 13, 13, 13, 14]"
285,"[3, 6, 2, 20, 14]"
286,"[20, 20, 8, 5, 20, 22, 11, 11, 10, 25, 25, 16]"
287,"[6, 10, 11, 22, 10, 25, 24, 13, 24]"
288,"[2, 10, 25, 24, 14, 24]"
289,"[21, 1, 1, 19, 2, 22, 10, 10, 15, 15, 24, 24]"
290,"[2, 20, 3, 9, 22, 12, 10, 12, 16, 16, 17, 16, 14, 13, 24, 24]"
291,"[9, 6, 20, 6, 12, 12, 11, 15, 25]"
292,"[4, 2, 22, 17, 15]"
293,"[2, 2, 8, 18, 20, 16, 16, 23, 13]"
294,"[18, 1, 6, 1, 19, 1, 8, 10, 22, 15, 25, 25, 17, 23]"
295,"[18, 8, 20, 20, 21, 2, 6, 5, 10, 16, 25, 14, 13]"
296,"[7, 21, 2, 11, 16, 25, 16, 24]"
297,"[19, 11, 12, 10, 17, 17, 16, 25, 24, 13]"
298,"[9, 5, 2, 21, 9, 21, 22, 12, 12, 12, 23]"
299,"[5, 18, 1, 7, 21, 21, 19, 9, 22, 12, 10, 13, 14, 14, 23]"
300,"[5, 7, 3, 21, 20, 18, 19, 5, 12, 12, 12, 25, 17, 24, 24]"
301,"[19, 7, 12, 11, 12, 25, 17, 17, 15, 13, 24]"
302,"[8, 22, 11, 25, 25, 16, 15]"
303,"[6, 9, 8, 9, 18, 20, 2, 21, 17, 17, 15, 23, 24, 23, 24]"
304,"[18, 8, 7, 4, 21, 20, 1, 11, 10, 12, 10, 15, 17, 15, 13]"
305,"[5, 8, 16, 15, 16, 24, 24, 14]"
306,"[1, 6, 6, 20, 20, 12, 10, 11, 17, 17, 25, 23, 23]"
307,"[21, 2, 6, 3, 21, 8, 12, 15, 25, 25, 25, 14, 13, 14, 23]"
308,"[1, 9, 22, 15, 16, 17, 16, 24, 23, 23, 13]"
309,"[7, 9, 7, 4, 3, 7, 12, 22, 12, 22, 25, 13, 24, 14]"
310,"[21, 2, 5, 21, 10, 15, 15]"
311,"[8, 20, 12, 10, 12, 22, 25]"
312,"[3, 20, 12, 10, 10, 13]"
313,"[20, 4, 10, 22, 13, 24, 24]"
314,"[21, 7, 18, 4, 17, 15, 24, 13, 24, 24]"
315,"[2, 2, 11, 17, 25, 17, 14]"
316,"[2, 4, 3, 8, 1, 10, 22, 12, 12, 25, 25, 25]"
317,"[9, 5, 3, 20, 1, 21, 1, 7, 11, 10, 11, 16, 15, 13, 13, 13, 14]"
318,"[7, 6, 20, 5, 6, 5, 5, 3, 16, 23]"
319,"[18, 7, 20, 19, 9, 20, 12, 11, 10, 16, 17, 13, 23, 14]"
320,"[9, 19, 21, 1, 1, 4, 19, 2, 10, 16, 16, 24, 14, 24]"
321,"[20, 20, 19, 5, 18, 11, 22, 22, 25, 25, 25, 25]"
322,"[19, 3, 18, 1, 4, 10, 11, 12, 11, 23]"
323,"[5, 12, 10, 17, 16, 15, 16]"
324,"[18, 2, 2, 20, 6, 9, 22, 15, 13, 24, 14]"
325,"[4, 7, 4, 6, 8, 10, 11, 11, 22, 15]"
326,"[8, 11, 22, 11, 22, 25, 25, 16]"
327,"[1, 2, 8, 22, 10, 11, 10, 14]"
328,"[2, 22, 12, 25, 25, 14]"
329,"[7, 12, 17, 17, 23]"
330,"[19, 22, 10, 12, 25, 15, 16, 15, 23, 24]"
331,"[2, 20, 8, 4, 21, 9, 2, 22, 15, 15, 25, 25, 14]"
332,"[7, 4, 22, 11, 12, 10, 17, 17, 15, 15]"
333,"[9, 18, 3, 18, 9, 22, 15, 25, 23, 23, 23]"
334,"[9, 7, 12]"
335,"[20, 12, 12, 16, 17, 16, 16, 24, 14, 14, 14]"
336,"[7, 21, 21, 10, 22, 10, 15, 17, 15, 23, 23, 23, 23]"
337,"[5, 18, 3, 19, 7, 18, 20, 10, 14]"
338,"[8, 16, 17, 13, 14, 13]"
339,"[21, 8, 6, 17, 17, 16, 23]"
340,"[18, 18, 6, 12, 11, 16, 25, 17]"
341,"[3, 7, 19, 21, 6, 4, 5, 10, 16, 17]"
342,"[20, 18, 3, 18, 17, 13, 23, 14]"
343,"[21, 1, 7, 2, 5, 19, 9, 9, 11, 12, 16, 24, 13, 24]"
344,"[7, 1, 8, 5, 22, 16, 13, 14]"
345,"[18, 2, 4, 2, 19, 18, 6, 20, 14]"
346,"[9, 9, 20, 18, 19, 10, 22, 22, 10, 16, 16, 23]"
347,"[20, 8, 7, 18, 5, 19, 5, 17, 25, 17, 25, 14, 24]"
348,"[8, 10, 22, 11, 12, 13, 23, 23]"
349,"[19, 9, 8, 12, 22, 10, 25, 25, 23]"
350,"[1, 19, 2, 19, 9, 4, 10, 10, 10, 22, 15, 25, 17]"
351,"[9, 18, 20, 18, 3, 3, 12, 22, 22, 17]"
352,"[1, 3, 6, 5, 22, 10, 22, 11, 15, 17, 25, 15, 14, 13, 14]"
353,"[6, 19, 20, 18, 18, 17, 24, 13]"
354,"[7, 22, 11, 13, 24, 14]"
355,"[3, 4, 5, 4, 8, 10, 12, 11, 10, 15, 16, 17, 23]"
356,"[8, 20, 19, 8, 10, 11, 15, 17, 13]"
357,"[20, 3, 18, 22, 17, 17, 16, 14, 14, 24, 24]"
358,"[4, 2, 1, 19, 12, 11, 15]"
359,"[4, 18, 21, 18, 3, 1, 1, 10, 11, 11, 16, 25, 25, 13, 23, 23]"
360,"[2, 21, 1, 18, 11, 22, 12, 11, 25, 25, 23, 23, 13]"
361,"[7, 18, 20, 1, 1, 1, 5, 5, 22, 22, 10, 25, 16, 16, 23, 13, 23]"
362,"[20, 3, 8, 21, 10, 11, 16, 14, 24, 13, 23]"
363,"[8, 9, 1, 5, 25, 25, 16, 23]"
364,"[2, 19, 4, 18, 22]"
365,"[19, 1, 8, 9, 9, 22, 12, 10, 16, 17, 15, 16]"
366,"[20, 18, 4, 3, 7, 1, 23]"
367,"[4, 9, 10, 10, 15, 25, 23]"
368,"[20, 18, 1, 21, 10, 11, 11, 17, 17, 15, 17, 13]"
369,"[18, 4, 8, 16, 25, 17, 23, 13, 14, 24]"
370,"[21, 18, 8, 4, 20, 1, 3, 1, 11, 15, 16, 17, 17, 14]"
371,"[5, 7, 5, 9, 9, 10, 22, 12, 17, 15, 15, 16, 13, 13, 13, 13]"
372,"[5, 2, 2, 11, 22, 12, 10, 17, 16, 16, 13]"
373,"[1, 7, 8, 7, 10, 11, 22, 22, 25]"
374,"[5, 1, 10, 12, 22, 15]"
375,"[2, 1, 19, 18, 3, 12, 11, 12, 11, 15, 17, 25, 16, 13, 14, 14, 13]"
376,"[5, 9, 19, 7, 21, 10, 25, 14, 13]"
377,"[19, 3, 2, 8, 9, 21, 2, 12, 22, 16, 25, 13, 14, 14, 23]"
378,"[9, 9, 22, 10, 11, 22, 17, 15, 16, 17, 23]"
379,"[19, 18, 17, 17, 15, 25]"
380,"[7, 1, 1, 2, 10, 16, 15]"
381,"[1, 4, 7, 5, 1, 11, 22, 12, 12, 25, 15, 16, 24, 23, 23, 13]"
382,"[3, 1, 8, 11, 11, 12, 25, 16, 16, 16, 14, 13, 24]"
