EmployeeId,SaleDate,AmountSold,PaymentType
4,2024-10-28 09:48:00,27.35,Gift Card
1,2024-10-28 15:01:00,38.05,Gift Card
2,2024-10-28 20:40:00,15.30,Cash
4,2024-10-28 14:27:00,37.95,Gift Card
5,2024-10-28 11:02:00,21.05,Gift Card
10,2024-10-28 09:48:00,27.60,Gift Card
8,2024-10-28 16:34:00,30.95,Gift Card
10,2024-10-28 14:14:00,37.30,Gift Card
7,2024-10-28 18:58:00,32.00,Credit
3,2024-10-28 12:30:00,39.75,Gift Card
5,2024-10-28 19:57:00,42.15,Cash
6,2024-10-28 17:45:00,29.40,Credit
9,2024-10-28 14:41:00,53.35,Cash
5,2024-10-28 18:11:00,24.60,Gift Card
1,2024-10-28 16:42:00,20.95,Credit
8,2024-10-28 08:11:00,42.10,Cash
1,2024-10-28 14:51:00,30.25,Cash
5,2024-10-28 12:15:00,14.80,Cash
1,2024-10-28 11:53:00,31.20,Gift Card
6,2024-10-28 09:01:00,26.50,Credit
10,2024-10-28 15:02:00,22.20,Cash
1,2024-10-28 10:50:00,36.50,Gift Card
9,2024-10-28 12:00:00,26.50,Gift Card
7,2024-10-28 13:22:00,48.15,Cash
1,2024-10-28 12:47:00,22.95,Credit
9,2024-10-28 18:00:00,32.40,Gift Card
8,2024-10-28 09:02:00,37.85,Credit
6,2024-10-28 18:07:00,36.40,Cash
8,2024-10-28 20:10:00,48.35,Credit
6,2024-10-28 18:09:00,48.55,Cash
9,2024-10-28 16:06:00,41.80,Cash
4,2024-10-28 15:14:00,41.50,Gift Card
4,2024-10-28 08:19:00,19.85,Cash
3,2024-10-28 11:41:00,56.85,Gift Card
2,2024-10-28 12:40:00,13.90,Gift Card
7,2024-10-28 13:02:00,43.15,Gift Card
3,2024-10-28 09:38:00,34.00,Credit
2,2024-10-28 13:49:00,31.25,Gift Card
10,2024-10-28 17:12:00,38.70,Credit
4,2024-10-28 11:42:00,21.30,Credit
1,2024-10-28 08:19:00,37.65,Cash
10,2024-10-28 08:32:00,31.15,Gift Card
8,2024-10-28 16:48:00,54.30,Gift Card
6,2024-10-28 08:22:00,27.70,Cash
7,2024-10-28 13:34:00,40.00,Credit
7,2024-10-28 12:37:00,40.40,Cash
2,2024-10-28 19:22:00,40.15,Gift Card
7,2024-10-28 12:36:00,36.10,Gift Card
3,2024-10-28 20:09:00,38.40,Credit
10,2024-10-28 18:34:00,30.80,Gift Card
6,2024-10-28 19:12:00,35.20,Credit
10,2024-10-28 11:52:00,33.70,Credit
5,2024-10-28 18:35:00,28.45,Credit
7,2024-10-28 09:27:00,21.55,Credit
8,2024-10-28 17:24:00,43.55,Gift Card
8,2024-10-28 08:33:00,31.50,Credit
8,2024-10-28 10:41:00,34.50,Gift Card
9,2024-10-28 11:45:00,24.70,Credit
7,2024-10-28 10:11:00,11.80,Cash
8,2024-10-28 14:35:00,38.75,Gift Card
1,2024-10-28 09:01:00,28.60,Credit
9,2024-10-28 09:20:00,27.35,Gift Card
6,2024-10-28 14:14:00,28.25,Cash
9,2024-10-28 16:40:00,43.90,Gift Card
5,2024-10-28 16:42:00,36.65,Cash
4,2024-10-28 14:28:00,15.05,Cash
2,2024-10-28 14:13:00,43.90,Credit
5,2024-10-28 18:16:00,29.85,Credit
9,2024-10-28 09:51:00,31.35,Gift Card
9,2024-10-28 16:16:00,41.45,Cash
2,2024-10-28 17:58:00,31.90,Credit
5,2024-10-28 11:57:00,21.70,Gift Card
7,2024-10-28 09:40:00,56.10,Credit
3,2024-10-28 10:18:00,34.40,Gift Card
1,2024-10-28 15:44:00,46.60,Cash
1,2024-10-28 12:18:00,27.70,Gift Card
2,2024-10-28 14:14:00,15.80,Gift Card
8,2024-10-28 09:18:00,22.70,Cash
4,2024-10-28 16:50:00,38.05,Credit
9,2024-10-29 11:14:00,28.25,Gift Card
10,2024-10-29 08:17:00,27.50,Credit
8,2024-10-29 10:52:00,33.40,Gift Card
9,2024-10-29 10:29:00,41.40,Cash
6,2024-10-29 20:48:00,27.75,Credit
10,2024-10-29 13:45:00,25.50,Gift Card
4,2024-10-29 12:06:00,19.65,Gift Card
4,2024-10-29 15:54:00,50.05,Cash
6,2024-10-29 14:29:00,39.15,Credit
3,2024-10-29 16:19:00,27.80,Cash
9,2024-10-29 11:06:00,19.20,Credit
7,2024-10-29 09:05:00,23.10,Credit
2,2024-10-29 09:29:00,20.60,Cash
7,2024-10-29 18:46:00,35.50,Credit
6,2024-10-29 20:17:00,42.65,Gift Card
10,2024-10-29 11:48:00,38.20,Gift Card
4,2024-10-29 17:10:00,32.65,Gift Card
4,2024-10-29 16:17:00,42.65,Gift Card
8,2024-10-29 18:09:00,44.90,Credit
5,2024-10-29 08:39:00,35.75,Cash
5,2024-10-29 19:32:00,28.35,Credit
1,2024-10-29 17:56:00,38.90,Cash
9,2024-10-29 19:10:00,41.80,Gift Card
5,2024-10-29 09:55:00,31.50,Credit
9,2024-10-29 18:36:00,46.90,Gift Card
10,2024-10-29 17:06:00,37.65,Credit
10,2024-10-29 14:29:00,18.55,Credit
3,2024-10-29 12:51:00,32.50,Cash
6,2024-10-29 20:45:00,16.05,Cash
6,2024-10-29 19:42:00,24.85,Gift Card
1,2024-10-29 11:18:00,36.90,Gift Card
7,2024-10-29 10:59:00,33.75,Gift Card
10,2024-10-29 08:27:00,14.45,Credit
9,2024-10-29 14:30:00,46.90,Cash
1,2024-10-29 19:37:00,34.25,Gift Card
3,2024-10-29 20:02:00,15.80,Gift Card
5,2024-10-29 12:11:00,34.35,Credit
2,2024-10-29 11:51:00,19.00,Credit
2,2024-10-29 17:46:00,32.35,Gift Card
7,2024-10-29 08:36:00,39.75,Gift Card
2,2024-10-29 14:10:00,28.30,Cash
10,2024-10-29 19:43:00,33.45,Gift Card
3,2024-10-29 10:18:00,28.60,Gift Card
9,2024-10-29 20:46:00,37.25,Credit
4,2024-10-29 20:55:00,29.85,Credit
2,2024-10-29 17:36:00,21.10,Cash
8,2024-10-29 19:40:00,42.05,Gift Card
8,2024-10-29 20:37:00,41.05,Cash
6,2024-10-29 19:25:00,25.10,Gift Card
7,2024-10-29 11:21:00,46.80,Credit
2,2024-10-29 17:05:00,24.60,Gift Card
9,2024-10-29 15:39:00,41.90,Cash
2,2024-10-29 16:15:00,30.60,Cash
8,2024-10-29 19:54:00,48.60,Cash
8,2024-10-29 14:24:00,33.10,Credit
7,2024-10-29 17:41:00,34.10,Cash
1,2024-10-29 13:37:00,53.35,Gift Card
10,2024-10-29 12:09:00,37.30,Cash
3,2024-10-29 09:25:00,38.25,Cash
7,2024-10-29 17:21:00,26.05,Gift Card
3,2024-10-29 20:11:00,35.30,Credit
5,2024-10-29 13:06:00,19.30,Gift Card
9,2024-10-29 18:38:00,38.15,Gift Card
2,2024-10-29 10:32:00,32.10,Cash
3,2024-10-29 16:40:00,33.50,Cash
9,2024-10-29 08:00:00,39.50,Credit
5,2024-10-29 13:56:00,38.95,Cash
7,2024-10-29 20:27:00,32.60,Gift Card
6,2024-10-29 09:20:00,20.95,Credit
8,2024-10-29 10:45:00,41.30,Cash
9,2024-10-29 09:11:00,36.95,Gift Card
3,2024-10-29 17:58:00,31.80,Gift Card
7,2024-10-29 17:06:00,26.75,Credit
3,2024-10-29 15:39:00,28.50,Cash
9,2024-10-29 13:34:00,32.70,Credit
6,2024-10-29 20:00:00,25.35,Gift Card
4,2024-10-29 18:53:00,24.60,Cash
2,2024-10-29 12:21:00,25.10,Cash
3,2024-10-29 11:40:00,34.90,Credit
8,2024-10-29 14:36:00,44.15,Cash
2,2024-10-29 16:20:00,28.40,Credit
6,2024-10-29 08:56:00,44.15,Cash
8,2024-10-29 19:36:00,25.05,Gift Card
7,2024-10-29 09:49:00,22.35,Credit
5,2024-10-29 11:46:00,21.05,Cash
10,2024-10-29 09:56:00,10.40,Gift Card
2,2024-10-29 20:42:00,32.60,Gift Card
4,2024-10-29 09:39:00,30.10,Credit
7,2024-10-29 17:11:00,32.70,Credit
1,2024-10-29 18:08:00,36.35,Credit
9,2024-10-29 08:59:00,35.60,Gift Card
6,2024-10-29 20:27:00,18.80,Gift Card
2,2024-10-29 10:35:00,27.85,Credit
1,2024-10-29 19:42:00,45.80,Gift Card
7,2024-10-29 13:51:00,39.65,Credit
2,2024-10-29 17:16:00,31.35,Credit
2,2024-10-29 20:57:00,29.85,Gift Card
8,2024-10-29 17:31:00,27.85,Credit
3,2024-10-29 20:20:00,16.20,Cash
1,2024-10-29 18:27:00,17.95,Credit
5,2024-10-29 20:21:00,11.20,Gift Card
2,2024-10-29 10:24:00,42.05,Cash
1,2024-10-29 10:30:00,33.50,Gift Card
8,2024-10-29 17:20:00,31.05,Cash
2,2024-10-29 10:28:00,36.50,Cash
6,2024-10-29 16:35:00,39.90,Credit
1,2024-10-29 17:01:00,29.85,Credit
9,2024-10-29 16:54:00,40.90,Gift Card
5,2024-10-29 08:31:00,25.70,Credit
1,2024-10-29 16:12:00,32.80,Cash
2,2024-10-29 14:39:00,32.10,Cash
5,2024-10-29 09:30:00,17.20,Gift Card
5,2024-10-29 10:26:00,5.20,Gift Card
2,2024-10-29 12:27:00,41.90,Cash
10,2024-10-29 09:25:00,38.65,Cash
8,2024-10-29 19:08:00,35.30,Credit
4,2024-10-29 20:19:00,31.00,Cash
2,2024-10-29 13:52:00,46.80,Credit
6,2024-10-29 15:33:00,31.35,Credit
10,2024-10-29 13:16:00,40.45,Cash
7,2024-10-29 14:44:00,16.05,Cash
1,2024-10-30 09:52:00,19.80,Cash
5,2024-10-30 17:10:00,45.40,Cash
9,2024-10-30 16:30:00,28.60,Credit
2,2024-10-30 08:11:00,20.75,Credit
8,2024-10-30 19:43:00,22.70,Cash
6,2024-10-30 17:02:00,40.90,Cash
3,2024-10-30 11:52:00,50.05,Cash
5,2024-10-30 16:19:00,41.90,Cash
2,2024-10-30 19:57:00,44.40,Gift Card
8,2024-10-30 17:14:00,32.00,Gift Card
7,2024-10-30 15:05:00,26.75,Cash
6,2024-10-30 20:16:00,38.65,Gift Card
4,2024-10-30 16:10:00,28.75,Credit
7,2024-10-30 12:32:00,32.55,Cash
5,2024-10-30 11:09:00,26.95,Cash
5,2024-10-30 08:23:00,23.10,Credit
2,2024-10-30 20:18:00,50.00,Gift Card
1,2024-10-30 17:50:00,35.75,Cash
4,2024-10-30 11:48:00,38.50,Cash
2,2024-10-30 19:25:00,51.10,Gift Card
9,2024-10-30 14:38:00,46.30,Credit
4,2024-10-30 08:24:00,37.05,Gift Card
7,2024-10-30 12:09:00,39.30,Cash
1,2024-10-30 19:56:00,8.70,Gift Card
10,2024-10-30 13:35:00,27.20,Gift Card
2,2024-10-30 15:32:00,22.55,Credit
3,2024-10-30 10:01:00,37.40,Gift Card
7,2024-10-30 20:05:00,29.25,Cash
8,2024-10-30 11:59:00,16.05,Cash
2,2024-10-30 18:03:00,34.00,Cash
7,2024-10-30 09:47:00,45.40,Cash
2,2024-10-30 11:57:00,29.00,Gift Card
10,2024-10-30 09:12:00,14.80,Gift Card
2,2024-10-30 18:56:00,34.50,Gift Card
1,2024-10-30 17:24:00,39.55,Gift Card
1,2024-10-30 14:26:00,45.80,Gift Card
3,2024-10-30 14:45:00,20.55,Credit
3,2024-10-30 15:13:00,30.60,Gift Card
2,2024-10-30 19:05:00,33.15,Credit
7,2024-10-30 19:38:00,39.40,Gift Card
8,2024-10-30 11:55:00,40.90,Gift Card
3,2024-10-30 13:49:00,32.10,Credit
2,2024-10-30 09:34:00,22.70,Gift Card
7,2024-10-30 12:39:00,56.10,Cash
2,2024-10-30 08:15:00,44.55,Gift Card
10,2024-10-30 19:23:00,23.15,Credit
9,2024-10-30 14:29:00,36.50,Cash
1,2024-10-30 08:29:00,43.90,Credit
10,2024-10-30 16:40:00,26.80,Cash
7,2024-10-30 16:52:00,39.15,Cash
3,2024-10-30 13:42:00,21.50,Credit
3,2024-10-30 17:37:00,25.50,Credit
10,2024-10-30 16:09:00,20.35,Cash
6,2024-10-30 08:53:00,19.45,Cash
5,2024-10-30 16:54:00,32.80,Credit
8,2024-10-30 12:03:00,19.05,Gift Card
10,2024-10-30 09:53:00,37.40,Cash
6,2024-10-30 19:29:00,44.40,Cash
6,2024-10-30 16:07:00,45.85,Cash
5,2024-10-30 10:14:00,37.25,Credit
9,2024-10-30 12:19:00,47.55,Cash
7,2024-10-30 12:31:00,35.50,Credit
7,2024-10-30 17:00:00,31.65,Cash
7,2024-10-30 20:11:00,22.70,Cash
3,2024-10-30 10:43:00,34.65,Cash
8,2024-10-30 19:51:00,32.40,Cash
5,2024-10-30 11:02:00,29.00,Cash
8,2024-10-30 18:13:00,26.25,Cash
4,2024-10-30 09:05:00,19.45,Gift Card
2,2024-10-30 11:06:00,15.05,Credit
2,2024-10-30 15:35:00,30.60,Cash
1,2024-10-30 09:27:00,43.85,Cash
3,2024-10-30 10:04:00,33.00,Gift Card
3,2024-10-30 19:31:00,31.95,Credit
8,2024-10-30 16:57:00,9.80,Cash
4,2024-10-30 15:56:00,29.70,Cash
10,2024-10-30 14:15:00,34.60,Cash
10,2024-10-30 17:36:00,33.85,Credit
1,2024-10-30 09:32:00,15.45,Gift Card
8,2024-10-30 08:41:00,24.85,Gift Card
4,2024-10-30 16:07:00,23.20,Gift Card
5,2024-10-30 09:41:00,37.10,Cash
4,2024-10-30 10:07:00,28.55,Gift Card
1,2024-10-30 18:54:00,40.75,Cash
3,2024-10-30 20:21:00,22.50,Cash
9,2024-10-30 09:09:00,43.35,Gift Card
2,2024-10-30 13:08:00,36.65,Credit
1,2024-10-30 08:14:00,49.90,Credit
7,2024-10-30 14:28:00,26.75,Credit
2,2024-10-30 13:10:00,26.85,Gift Card
10,2024-10-30 11:25:00,38.90,Credit
4,2024-10-30 18:29:00,29.50,Gift Card
7,2024-10-30 17:25:00,43.65,Cash
3,2024-11-01 13:20:00,32.00,Cash
9,2024-11-01 08:41:00,17.95,Gift Card
6,2024-11-01 18:34:00,39.15,Cash
5,2024-11-01 10:08:00,26.35,Cash
9,2024-11-01 08:51:00,25.80,Credit
6,2024-11-01 15:50:00,22.10,Cash
7,2024-11-01 18:41:00,43.65,Credit
3,2024-11-01 09:45:00,38.65,Cash
4,2024-11-01 08:20:00,45.15,Gift Card
4,2024-11-01 11:45:00,29.10,Gift Card
6,2024-11-01 12:15:00,30.05,Gift Card
5,2024-11-01 16:33:00,16.50,Credit
3,2024-11-01 16:37:00,35.50,Credit
4,2024-11-01 19:28:00,32.95,Credit
7,2024-11-01 11:09:00,20.95,Gift Card
1,2024-11-01 08:54:00,35.75,Credit
8,2024-11-01 18:46:00,30.10,Credit
7,2024-11-01 08:40:00,49.05,Gift Card
5,2024-11-01 13:26:00,42.50,Cash
6,2024-11-01 18:01:00,33.75,Gift Card
5,2024-11-01 11:06:00,30.90,Credit
9,2024-11-01 17:07:00,21.10,Cash
4,2024-11-01 16:55:00,46.90,Credit
8,2024-11-01 12:16:00,27.70,Cash
9,2024-11-01 16:08:00,39.80,Gift Card
1,2024-11-01 09:53:00,34.75,Credit
4,2024-11-01 20:04:00,20.40,Cash
4,2024-11-01 12:58:00,21.50,Credit
6,2024-11-01 20:12:00,44.40,Cash
4,2024-11-01 19:02:00,35.35,Cash
3,2024-11-01 18:15:00,28.25,Cash
8,2024-11-01 15:28:00,12.15,Gift Card
7,2024-11-01 19:11:00,33.10,Gift Card
5,2024-11-01 18:10:00,29.90,Cash
7,2024-11-01 16:41:00,39.30,Cash
3,2024-11-01 20:09:00,54.35,Credit
2,2024-11-01 18:12:00,25.85,Cash
5,2024-11-01 20:51:00,6.95,Cash
6,2024-11-01 12:33:00,31.90,Cash
9,2024-11-01 16:22:00,29.85,Credit
6,2024-11-01 20:09:00,15.40,Gift Card
6,2024-11-01 18:13:00,30.75,Gift Card
4,2024-11-01 14:22:00,35.60,Cash
5,2024-11-01 18:57:00,19.00,Cash
5,2024-11-01 18:04:00,45.70,Cash
7,2024-11-01 15:48:00,17.55,Cash
5,2024-11-01 20:41:00,44.00,Credit
3,2024-11-01 09:46:00,22.55,Gift Card
2,2024-11-01 13:31:00,22.85,Cash
7,2024-11-01 12:49:00,20.80,Gift Card
4,2024-11-01 20:06:00,45.40,Gift Card
9,2024-11-02 18:35:00,46.60,Cash
8,2024-11-02 17:49:00,45.90,Credit
10,2024-11-02 15:32:00,37.50,Credit
6,2024-11-02 15:17:00,46.30,Gift Card
4,2024-11-02 15:37:00,37.65,Gift Card
3,2024-11-02 08:03:00,36.80,Gift Card
6,2024-11-02 14:21:00,26.50,Gift Card
2,2024-11-02 18:28:00,39.00,Gift Card
7,2024-11-02 14:48:00,28.50,Gift Card
2,2024-11-02 08:36:00,28.45,Cash
8,2024-11-02 20:34:00,29.85,Gift Card
5,2024-11-02 19:27:00,24.35,Gift Card
10,2024-11-02 08:09:00,25.20,Cash
1,2024-11-02 09:11:00,27.50,Credit
1,2024-11-02 14:16:00,11.80,Credit
1,2024-11-02 15:56:00,39.40,Gift Card
8,2024-11-02 20:11:00,29.60,Gift Card
1,2024-11-02 18:23:00,42.40,Gift Card
10,2024-11-02 14:26:00,15.80,Credit
2,2024-11-02 09:13:00,38.05,Credit
7,2024-11-02 15:27:00,27.85,Credit
7,2024-11-02 10:59:00,22.60,Cash
2,2024-11-02 13:16:00,13.55,Cash
5,2024-11-02 08:59:00,27.10,Cash
9,2024-11-02 16:37:00,26.10,Cash
1,2024-11-02 10:14:00,33.00,Credit
8,2024-11-02 14:10:00,36.75,Credit
8,2024-11-02 15:08:00,39.75,Cash
4,2024-11-02 10:40:00,31.75,Gift Card
10,2024-11-02 12:11:00,45.00,Credit
10,2024-11-02 16:22:00,26.95,Cash
9,2024-11-02 09:17:00,33.75,Gift Card
8,2024-11-02 17:25:00,41.25,Credit
5,2024-11-02 17:35:00,29.90,Gift Card
6,2024-11-02 19:35:00,40.15,Cash
10,2024-11-02 10:53:00,40.90,Cash
7,2024-11-02 19:09:00,16.50,Gift Card
8,2024-11-02 08:23:00,29.50,Gift Card
6,2024-11-02 17:55:00,37.40,Credit
6,2024-11-02 13:38:00,44.00,Gift Card
1,2024-11-02 11:23:00,28.25,Gift Card
10,2024-11-02 20:04:00,41.45,Gift Card
1,2024-11-02 15:28:00,26.90,Gift Card
10,2024-11-02 13:24:00,41.90,Credit
10,2024-11-02 10:52:00,36.65,Cash
7,2024-11-02 09:53:00,41.50,Credit
5,2024-11-02 16:20:00,36.75,Cash
2,2024-11-02 11:42:00,28.65,Credit
3,2024-11-02 16:38:00,49.30,Credit
8,2024-11-02 15:20:00,24.45,Cash
2,2024-11-02 10:14:00,42.90,Credit
8,2024-11-02 12:56:00,38.90,Cash
4,2024-11-02 17:35:00,10.20,Cash
10,2024-11-02 09:01:00,41.55,Cash
4,2024-11-02 16:01:00,46.65,Gift Card
6,2024-11-02 12:49:00,37.25,Gift Card
1,2024-11-02 11:29:00,16.95,Cash
6,2024-11-02 10:30:00,35.15,Cash
5,2024-11-02 15:12:00,22.60,Credit
8,2024-11-02 14:52:00,36.50,Gift Card
7,2024-11-02 11:29:00,36.25,Cash
7,2024-11-02 20:45:00,37.85,Cash
5,2024-11-02 16:10:00,33.50,Gift Card
1,2024-11-02 15:24:00,21.10,Gift Card
1,2024-11-02 08:39:00,30.35,Credit
6,2024-11-02 12:59:00,34.40,Gift Card
2,2024-11-02 13:57:00,40.00,Cash
7,2024-11-02 18:43:00,36.40,Cash
9,2024-11-02 11:26:00,25.60,Cash
4,2024-11-02 19:08:00,30.15,Cash
10,2024-11-02 08:30:00,44.30,Credit
6,2024-11-02 17:44:00,42.55,Gift Card
5,2024-11-02 16:43:00,45.30,Credit
4,2024-11-02 13:36:00,30.75,Gift Card
9,2024-11-02 12:34:00,21.85,Cash
5,2024-11-02 16:38:00,31.05,Cash
2,2024-11-02 10:19:00,24.30,Cash
7,2024-11-02 12:40:00,38.25,Gift Card
10,2024-11-02 17:43:00,39.00,Gift Card
8,2024-11-02 16:05:00,46.15,Gift Card
5,2024-11-02 17:12:00,14.30,Cash
6,2024-11-02 13:26:00,35.60,Credit
10,2024-11-02 10:47:00,20.80,Gift Card
5,2024-11-02 16:17:00,30.75,Cash
5,2024-11-02 13:56:00,37.00,Credit
10,2024-11-02 17:48:00,19.90,Credit
7,2024-11-02 17:26:00,38.90,Cash
3,2024-11-02 13:49:00,43.35,Credit
10,2024-11-02 20:35:00,33.05,Gift Card
2,2024-11-02 19:36:00,9.45,Credit
8,2024-11-02 12:30:00,32.10,Gift Card
2,2024-11-02 19:28:00,36.90,Cash
1,2024-11-02 11:39:00,22.20,Cash
1,2024-11-02 12:24:00,38.65,Credit
3,2024-11-02 15:24:00,25.35,Cash
7,2024-11-02 17:58:00,19.95,Gift Card
1,2024-11-02 10:33:00,8.70,Gift Card
9,2024-11-02 17:56:00,22.60,Gift Card
5,2024-11-02 15:23:00,17.30,Cash
7,2024-11-02 13:40:00,10.40,Cash
2,2024-11-02 19:46:00,13.05,Cash
5,2024-11-02 16:57:00,40.15,Cash
6,2024-11-02 18:51:00,29.30,Cash
4,2024-11-02 18:44:00,30.75,Credit
2,2024-11-02 09:06:00,37.10,Credit
6,2024-11-02 10:47:00,15.05,Cash
7,2024-11-02 10:40:00,25.60,Cash
6,2024-11-02 10:15:00,24.85,Cash
4,2024-11-02 18:23:00,30.10,Credit
8,2024-11-02 11:58:00,35.50,Gift Card
1,2024-11-02 10:50:00,47.50,Credit
10,2024-11-02 10:56:00,20.80,Credit
1,2024-11-02 19:04:00,35.90,Cash
8,2024-11-02 20:17:00,33.00,Gift Card
1,2024-11-02 19:14:00,48.15,Credit
6,2024-11-02 17:14:00,33.60,Credit
10,2024-11-02 14:49:00,24.00,Credit
6,2024-11-02 14:17:00,46.90,Gift Card
6,2024-11-02 15:23:00,30.85,Gift Card
1,2024-11-02 17:49:00,51.30,Credit
1,2024-11-02 13:30:00,30.80,Gift Card
2,2024-11-02 16:46:00,38.65,Gift Card
7,2024-11-02 09:45:00,21.20,Cash
5,2024-11-02 14:46:00,41.30,Cash
6,2024-11-02 14:30:00,36.75,Credit
2,2024-11-02 10:52:00,20.75,Cash
5,2024-11-02 16:24:00,40.90,Cash
4,2024-11-02 17:02:00,29.60,Cash
6,2024-11-02 16:57:00,30.00,Gift Card
8,2024-11-02 09:17:00,28.60,Gift Card
5,2024-11-02 13:13:00,35.50,Gift Card
2,2024-11-02 12:40:00,19.05,Gift Card
10,2024-11-02 16:39:00,30.20,Cash
6,2024-11-02 15:26:00,31.80,Cash
8,2024-11-02 19:58:00,41.90,Gift Card
2,2024-11-02 12:10:00,14.80,Gift Card
8,2024-11-02 13:40:00,43.15,Credit
7,2024-11-02 16:15:00,37.50,Gift Card
8,2024-11-02 09:43:00,21.40,Gift Card
3,2024-11-02 15:55:00,15.05,Credit
9,2024-11-02 15:28:00,26.85,Gift Card
10,2024-11-02 14:31:00,46.15,Cash
7,2024-11-02 09:16:00,12.55,Gift Card
2,2024-11-02 09:55:00,34.75,Gift Card
10,2024-11-02 20:58:00,36.50,Credit
1,2024-11-02 20:33:00,36.50,Cash
10,2024-11-02 10:37:00,26.00,Cash
6,2024-11-02 15:47:00,26.85,Gift Card
10,2024-11-02 15:37:00,28.25,Gift Card
3,2024-11-02 18:53:00,42.80,Credit
9,2024-11-02 12:10:00,28.60,Cash
10,2024-11-02 17:39:00,36.10,Credit
5,2024-11-02 20:34:00,20.55,Gift Card
9,2024-11-02 13:06:00,33.00,Credit
7,2024-11-02 17:06:00,27.10,Cash
6,2024-11-02 13:38:00,44.75,Cash
6,2024-11-02 16:03:00,28.40,Gift Card
4,2024-11-02 16:12:00,11.55,Cash
4,2024-11-02 14:23:00,49.30,Credit
10,2024-11-02 10:54:00,26.75,Credit
8,2024-11-02 20:53:00,43.80,Gift Card
8,2024-11-02 18:31:00,34.75,Gift Card
5,2024-11-02 18:23:00,41.50,Credit
8,2024-11-02 14:24:00,42.35,Credit
3,2024-11-02 15:37:00,27.10,Credit
2,2024-11-02 08:03:00,40.30,Gift Card
2,2024-11-02 14:55:00,40.90,Credit
1,2024-11-02 08:41:00,23.45,Gift Card
3,2024-11-02 16:02:00,28.30,Credit
3,2024-11-02 09:55:00,56.85,Credit
5,2024-11-02 19:51:00,19.45,Gift Card
10,2024-11-02 12:10:00,33.60,Credit
9,2024-11-02 11:20:00,23.60,Credit
8,2024-11-02 12:16:00,20.80,Credit
6,2024-11-02 13:17:00,40.55,Gift Card
5,2024-11-02 15:08:00,25.80,Cash
3,2024-11-02 18:38:00,45.90,Credit
10,2024-11-02 18:44:00,8.70,Gift Card
5,2024-11-02 16:47:00,33.50,Gift Card
2,2024-11-02 19:30:00,34.00,Cash
10,2024-11-02 14:40:00,41.40,Credit
4,2024-11-02 18:13:00,44.05,Cash
3,2024-11-02 13:26:00,40.00,Gift Card
5,2024-11-02 08:08:00,34.85,Cash
9,2024-11-02 20:53:00,30.20,Credit
